week,revenue,search_spend,social_spend,tv_spend,display_spend,promotion,discount_pct,holiday
2023-01-01,712623.16,38000.08,26513.74,62193.7,17959.05,1,0.1,1
2023-01-08,682516.92,32872.22,20731.24,91198.93,14477.6,0,0.0,1
2023-01-15,563435.64,21731.56,24391.38,132.64,12717.09,0,0.0,0
2023-01-22,570764.32,22523.08,21518.57,7944.68,12558.74,0,0.0,0
2023-01-29,603820.13,21082.07,14929.85,62613.73,7430.73,0,0.0,0
2023-02-05,683469.97,28737.86,24669.17,76434.49,14991.54,1,0.2,0
2023-02-12,574667.21,22335.71,16469.4,7178.42,11997.93,0,0.0,0
2023-02-19,609510.23,20269.07,18430.58,7043.04,12339.58,0,0.0,0
2023-02-26,612395.48,20298.76,24403.72,4289.6,12524.15,0,0.0,0
2023-03-05,582042.52,24776.57,21558.57,4974.34,13162.43,0,0.0,0
2023-03-12,586169.55,29060.82,17229.45,2185.5,11288.9,0,0.0,0
2023-03-19,652150.94,28806.63,20888.29,404.16,16622.69,1,0.2,0
2023-03-26,576491.17,23913.0,18576.98,4756.54,11222.96,0,0.0,0
2023-04-02,556206.47,25009.45,14350.32,2358.04,8876.18,0,0.0,0
2023-04-09,559684.53,27896.33,15507.95,5308.97,10548.67,0,0.0,0
2023-04-16,555681.34,24409.49,18006.58,6689.96,4640.46,0,0.0,0
2023-04-23,507466.02,22242.34,20139.69,145.28,11800.69,0,0.0,0
2023-04-30,553025.45,26473.38,18180.32,4765.71,3248.25,0,0.0,0
2023-05-07,484427.1,24081.26,9256.1,1850.24,4867.1,0,0.0,0
2023-05-14,510897.71,27009.89,16927.68,6991.11,11135.46,0,0.0,0
2023-05-21,551744.34,22533.63,16230.68,2029.32,11012.73,0,0.0,0
2023-05-28,532283.2,17872.42,17371.64,4886.16,8018.05,0,0.0,0
2023-06-04,669063.36,20991.04,26202.66,67970.47,14126.46,1,0.2,0
2023-06-11,535615.98,25593.15,10484.04,3169.33,11362.09,0,0.0,0
2023-06-18,501153.4,25358.84,15297.24,5420.97,8856.25,0,0.0,0
2023-06-25,510828.27,19206.78,19294.09,5806.16,15309.36,0,0.0,0
2023-07-02,502632.16,18170.55,13255.22,4535.5,9309.96,0,0.0,0
2023-07-09,510796.44,23303.53,22906.48,6067.38,12542.69,0,0.0,0
2023-07-16,522820.11,15228.08,20034.52,7867.34,14242.38,0,0.0,0
2023-07-23,512319.18,15532.23,21866.0,44414.31,11728.55,0,0.0,0
2023-07-30,550850.29,19856.4,17933.14,71313.46,8478.6,0,0.0,0
2023-08-06,562325.29,20500.47,27311.32,78172.17,15608.38,1,0.1,0
2023-08-13,546649.34,17478.98,23190.83,6368.23,11726.49,0,0.0,0
2023-08-20,516613.05,16869.86,20684.05,4161.84,8441.53,0,0.0,0
2023-08-27,486324.04,18297.31,20573.24,3263.69,10631.64,0,0.0,0
2023-09-03,490518.13,21491.88,20457.0,752.58,9629.87,0,0.0,0
2023-09-10,482025.32,17587.52,16736.21,7117.25,12032.77,0,0.0,0
2023-09-17,478152.65,19355.55,18486.86,3160.06,10690.94,0,0.0,0
2023-09-24,516503.06,11442.03,18021.06,5460.65,9939.67,0,0.0,0
2023-10-01,477351.46,17674.42,19150.18,1194.99,10575.18,0,0.0,0
2023-10-08,478901.15,15575.6,20520.84,7692.4,11576.45,0,0.0,0
2023-10-15,423749.46,14786.92,13894.95,1427.53,10707.36,0,0.0,0
2023-10-22,457070.71,16196.2,16298.73,1596.34,8075.26,0,0.0,0
2023-10-29,543774.81,18259.97,20798.4,91410.94,9116.42,0,0.0,0
2023-11-05,525633.89,22480.65,13899.2,7300.66,11684.16,0,0.0,0
2023-11-12,556811.78,16257.21,13547.83,1697.18,8562.28,0,0.0,0
2023-11-19,555423.03,20858.05,16621.5,61721.4,7321.69,0,0.0,0
